"GeneName","log2FoldChange","pvalue","padj"
"A2M",-1.31381490877538,3.13815734994024e-23,1.74287019604576e-21
"A2ML1",2.84591967833335,2.04475431539951e-14,3.15315643048491e-13
"A4GNT",-1.28122266297088,0.000108534396468404,0.000315069895540406
"AADAC",-4.47642180674865,3.23669908085156e-20,1.153430813165e-18
"AADACL2",-2.71860432206249,5.66722122334265e-09,3.6001070206077e-08
"AADACL3",-3.56017078948239,3.39033545100791e-08,1.88402666929328e-07
"AADACL4",-1.86590207823807,0.0053565597510851,0.0108603810176101
"AARD",2.49344074674199,1.33692549688085e-11,1.32120514504447e-10
"AASS",-1.50561887910982,3.35237424366947e-13,4.24217164452084e-12
"ABCA1",-1.18201498727731,3.95287372520508e-11,3.61835583308652e-10
"ABCA10",-2.8629323030541,1.0065973727394e-26,8.93425724196827e-25
"ABCA5",-1.2274102312623,8.60536300615455e-15,1.41760854240156e-13
"ABCA6",-2.35751691537269,7.2161353605414e-23,3.82858310162356e-21
"ABCA8",-3.45288879282954,1.39709740795103e-27,1.45008022768425e-25
"ABCA9",-3.14298432756825,1.78587205182059e-31,3.0559327704757e-29
"ABCB1",-2.02588243440716,7.01180691563267e-22,3.16347412245907e-20
"ABCB11",-2.55063904072443,1.0880340539456e-09,7.82214944006156e-09
"ABCB5",-3.68696176567578,9.2932654454237e-28,9.86124490895965e-26
"ABCC11",1.2280955563112,0.00446149842534753,0.0092010533215039
"ABCC9",-2.23295519600477,9.84087327922549e-21,3.80687468565395e-19
"ABCD2",-3.90902664475896,8.45673996451719e-33,1.8048013357982e-30
"ABCG2",-1.58017956248898,9.0192136271408e-16,1.69112481376024e-14
"ABCG8",-2.25433785036267,7.25080370566535e-09,4.52288228523506e-08
"ABHD11",1.00091258089813,2.33379646376324e-08,1.33760199253829e-07
"ABHD17C",1.05110147053862,4.11467050963889e-11,3.75560075252672e-10
"ABI3BP",-1.21504779799313,1.31853654415142e-05,4.53536456349366e-05
"ABLIM1",-1.1809384057831,2.51880806321626e-18,7.02529226912331e-17
"ABLIM3",-1.13481634017685,3.0585974999988e-07,1.43692804637589e-06
"ABRA",-1.93169520371762,1.14922771627041e-07,5.81161641183176e-07
"ABTB3",-1.08065149938071,1.64946852672388e-06,6.74634048160923e-06
"ACAA2",-1.11901481350548,3.71320292991684e-13,4.67076665237355e-12
"ACACB",-3.28781154832565,1.39445255934683e-33,3.35268758382706e-31
"ACADL",-1.73802000243155,0.00019490484145834,0.000536602777019815
"ACADS",-1.28082871922519,3.87049463995464e-10,2.99576916019961e-09
"ACAN",2.19175724417605,3.96624705824296e-13,4.93999322126339e-12
"ACKR1",-2.40274250514336,2.60354482102627e-14,3.92785784992636e-13
"ACKR3",-1.05933011123157,1.41552796959797e-05,4.84704132946527e-05
"ACKR4",-1.29241298656583,1.73530063053507e-07,8.5278913781069e-07
"ACO1",-1.80906561571885,3.53546835144581e-21,1.46302147859176e-19
"ACOT6",1.35395457354188,0.000324424967553191,0.000856802886356908
"ACOXL",1.33197044573094,1.48452035127541e-08,8.80055541576941e-08
"ACRV1",1.04554704572978,5.28538130988885e-06,1.97308436713893e-05
